category,faqQuestion,faqAnswer,lastUpdated
Passenger,What are Permitted and Prohibited Items?,"Prohibited items are weapons, explosives, incendiaries, and items that are seemingly harmless but may be used as weapons - the so-called ""dual-use"" items.",26-05-2025
Passenger,How can I get directions to the Kempegowda International Airport Bengaluru ?,"The most common landmark that passengers could ask for is Hebbal, which is a definite start point of your journey to reach Kempegowda International Airport Bengaluru. From Hebbal, you will get on to the National Highway (NH) 7, which is the Bangalore-Hyderabad Highway.",26-05-2025
Passenger,Are there any airport taxes charged at Kempegowda International Airport Bengaluru ? What is UDF ?,"UDF stands for User Development Fee, which is charged to all our passengers towards the construction, management, and operation of the Kempegowda International Airport Bengaluru. It is levied on embarking domestic and international passengers for the provision of passenger amenities, services, and facilities. The UDF is approved by the Ministry of Civil Aviation. At Kempegowda International Airport Bengaluru, a UDF of Rs. 1537.08 is collected from all our international departure passengers and Rs. 384.27 from all our domestic departure passengers. UDF is applicable to greenfield airports like Bangalore where the airport has been built from scratch requiring large investments",26-05-2025
Passenger,Where is Chhatrapati Shivaji International Airport (CSIA) Mumbai located ?,"Chhatrapati Shivaji International Airport (CSIA) Mumbai  operates domestic airlines - SpiceJet, IndiGo and GoAir from Terminal 1 located at Santacruz (E), Mumbai and the airlines Vistara, AirIndia and Jet Airways from Terminal 2 located at Sahar, Andheri (E), Mumbai. All the international operations are carried out from Terminal",26-05-2025
Passenger,Where can one meet their guests post arrival in Chhatrapati Shivaji International Airport (CSIA) Mumbai ?,One can meet their guests arriving from international destinations in Mumbai at the Meeters and Greeters area located at arrivals on level 2 at T2. Guest arriving in Mumbai from domestic destinations can be met at the arrivals exit at T1.,26-05-2025
Passenger,Where are the Money changer/Foreign Exchange counters located in Chhatrapati Shivaji International Airport (CSIA) Mumbai ?,"Terminal 2 - Money changer/Foreign Exchange counters are situated at departures (level 4), arrival (level 2) and Ground Transportation Lobby (level 1) at Terminal 2.
Terminal 1 - At Terminal 1, the counters are situated at the arrival and departure halls.",26-05-2025
Passenger,How do I travel between terminals at Chennai International Airport ?,Free battery-operated vehicles and courtesy coaches offering shuttle service for the convenience of transit passengers between Domestic & International terminals of Chennai International Airport .,26-05-2025
Passenger,Is there any Airline Lounge facility at Chennai International Airport ?,"Lounges at multiple locations in the Domestic & International Departures of Chennai Airport offers world class amenities including best of cuisines, plush seating, complimentary Wi-Fi, wide range of National, International & Regional dailies along with various magazines. Serving round the clock the lounges cater to Airline CIP customers as well as passengers availing access through Priority Pass, high-end credit cards and other loyalty cards.",26-05-2025
Passenger,Are there any Retiring rooms facility at Chennai International Airport ?,"Air Transit Passengers can avail the facilities of Retiring Rooms & Dormitories at Chennai International Airport , with a transit period of maximum 24hrs., on ‘first come first serve basis’. The facility cannot be booked in advance. Passengers can sleep for few hours, rejuvenate, shower before your next departure in comfort.",26-05-2025
Passenger,what is the distance between cochin international airport and cochin domestic airport?,The Cochin International Airport and domestic airport are located  in the same premises. There is only 100m between the terminals,26-05-2025
Passenger,Can I make an online booking for a child traveling alone on the Air India website ?,"No, passengers cannot make a booking for a child travelling alone. Please contact your nearest Air India office",26-05-2025
